Type,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Correct
text,Gibt es Dinge die euch sehr gut (+) oder gar nicht gut (-) gefallen haben? Und hat euch irgendetwas gefehlt (X) ?,,,,,,,,,,""
single,Das Tempo der Erklärungen war,etwas zu schnell - habe einige Dinge nicht richtig verstanden,genau richtig - war alles verständlich,etwas zu langsam - teilweise bisschen langweilig,,,,,,,""
single,Der inhaltliche Detailgrad war,etwas zu detailliert,genau richtig,hätte gerne noch etwas mehr in die Tiefe gehen können,,,,,,,""
single,Alles in allem fand ich die Vorlesung,Top,Ganz gut,Geht so,Gar nicht gut,,,,,,""
single,"Which category of injection attacks does the ""Billion Laughs Attack"" belong to?",XXE,XSS,CSRF,SQLi,Malicious File Upload,XPath Injection,OS Command Injection,,,1
single,What is the MAIN problem that leads to sql injections?,The application doesn't validate the input,The application uses the wrong database management system,The application mixes up query structure and user input,The application uses an outdated and vulnerable database management system,,,,,,3
single,What is the recommended minimum length of a secure session id?,32 Bit,96 Bit,128 Bit,256 Bit,512 Bit,1024 Bit,,,,3
single,For which HTTP authentication method do you have better password storage possibilities?,Basic,Digest,,,,,,,,1
single,Which algorithm would you use for password storage?,SHA1(<password>),MD5(<password>),none of them,,,,,,,3
single,Which cipher attribute ensures the security of previous sessions if the server's long-term secret is compromised?,PFS,SFTP,FSN,TLS,,,,,,1
single,Which one ist the current version of TLS?,1.2,1.3,1.4,1.5,,,,,,2
single,"Which messenger is a good example for the principle ""Open Design""?",WhatsApp,Signal,MS Teams,,,,,,,2
multi,"Which statements are true regarding the ""Fail-Safe Defaults"" principle?",Whitelist is better than blacklist,Security features should be shipped as opt-in possibilities to ensure best compatibility,A user should explicitly type https if he wants an encrypted communication,,,,,,,1
single,Im Hinblick auf Web Security bin ich,ultimate Hackerman - Mr. Robot style,schon relativ erfahren,ein Neuling,"was ist dieses ""Web""?",,,,,,""
multi,Vor meinem FH Studium habe ich,eine AHS absolviert,eine BHS absolviert,gearbeitet,etwas ganz anderes gemacht,,,,,,""
multi,Ich komme aus,Wien,Niederösterreich,Burgenland,Steiermark,Oberösterreich,Salzburg,Kärnten,Tirol,Vorarlberg,"",Einem anderen schönen Ort außerhalb von Europa
single,Welche Farbe hat der Himmel,Grün,Blau,Rot,,,,,,,2
